,titles,content,url
0,Orbital: ‘We can’t fall out with each other for ever. It would make Christmas awkward’,"Its Glastonbury this weekend. What do you remember of your legendary 1994 performance and why was it so important? Jamesis47
Paul Hartnoll: There we were, hammering it out on 909s and 303s [Rolands … [+7018 chars]",https://amp.theguardian.com/music/2022/jun/23/orbital-we-cant-fall-out-with-each-other-for-ever-it-would-make-christmas-awkward
1,"Gun Deal Is Less Than Democrats Wanted, but More Than They Expected","But as the talks continued, Senator Christopher S. Murphy of Connecticut, the lead Democratic negotiator, said steady progress was being made, and that the talks had a different feel from the failed … [+2053 chars]",https://www.nytimes.com/2022/06/12/us/gun-deal-is-less-than-democrats-wanted-but-more-than-they-expected.html
2,"Gun Deal Is Less Than Democrats Wanted, but More Than They Expected","But as the talks continued, Senator Christopher S. Murphy of Connecticut, the lead Democratic negotiator, said steady progress was being made, and that the talks had a different feel from the failed … [+2053 chars]",https://www.nytimes.com/2022/06/12/us/gun-deal-democrats.html
3,How Therapy Dogs Can Help Kids With Stress Relief,"Indeed, researchers and mental health professionals say theres a real need for more research into how animal-assisted interventions of all kinds can help children. Dr. Meints also hopes to see more c… [+2069 chars]",https://www.nytimes.com/2022/06/15/well/family/therapy-dogs-kids-stress.html
4,Inspecting the inspectors: students assess Ofsted regime’s toll on wellbeing,"What do young people think about Ofsted? Astonishingly, perhaps, 30 years after the school inspection service was established, that question is rarely asked. But a group of sixth-formers in east Lond… [+6508 chars]",https://amp.theguardian.com/education/2022/jun/29/inspecting-the-inspectors-students-assess-ofsted-regimes-toll-on-wellbeing
5,7 Books On Financial And Mental Wealth,"Whether you are a leader at a company, your startup, or at home, it might be time to change how you view your definition of wealth. This is where decisions that are value-based come into play.
You c… [+5208 chars]",https://www.forbes.com/sites/serenitygibbons/2022/06/16/7-books-on-financial-and-mental-wealth/
6,"Nobody should be forced to come out as Rebel Wilson was, famous or not | Eleanor Morgan","Last week, Australian actor Rebel Wilson posted a picture with her female partner, US fashion designer Ramona Agruma, to her 11 million Instagram followers. Her public coming out was met with a tidal… [+5663 chars]",https://amp.theguardian.com/commentisfree/2022/jun/14/nobody-should-be-forced-to-come-out-famous-rebel-wilson
7,I’m Sorry You Feel that Way by Rebecca Wait review – family tragicomedy,"Rebecca Waits new novel invites inevitable comparisons to Meg Masons runaway success Sorrow and Bliss. Both are about a pair of sisters; both grapple with madness, mad women and intergenerational tra… [+4632 chars]",https://amp.theguardian.com/books/2022/jul/02/im-sorry-you-feel-that-way-rebecca-wait-review
8,Escape the 'Grind Mentality' and Stop Saving Every Single Penny,"If youve ever come across the internet subculture of motivational speaker entrepreneurs, you know theyre going to advise you to work as hard as you can in your youth to save as much money as possible… [+3662 chars]",https://lifehacker.com/escape-the-grind-mentality-and-stop-saving-every-fuck-1849044866
9,Copenhagen shooting: Gunman to face judge for questioning,"Media caption, Watch: Panic as people flee gunfire in Copenhagen mall
A 22-year-old man suspected of killing three people at a shopping centre in Denmark's capital Copenhagen is due to appear before… [+3719 chars]",https://www.bbc.co.uk/news/world-europe-62034089
10,Oleksandr Usyk v Anthony Joshua II: British challenger confident of win in rematch,"Blips happen but the hunger is still there - Joshua
Anthony Joshua has branded himself the ""comeback king"" before his heavyweight rematch against Oleksandr Usyk in Saudi Arabia on 20 August. 
Joshu… [+1846 chars]",https://www.bbc.co.uk/sport/boxing/61882669
11,Research: Suicidal behaviors associated with hormone-sensitive brain disorder - ANI News,"ANI | Updated: Jun 14, 2022 00:36 IST
Washington [US], June 14 (ANI): A new global study published in BMC Psychiatry reports that 34 per cent of people with premenstrual dysphoric disorder have atte… [+4787 chars]",https://www.aninews.in/news/science/research-suicidal-behaviors-associated-with-hormone-sensitive-brain-disorder20220614003601
12,Calls to investigate Met for misinformation over man who died after being Tasered,The family of the man who died after falling into the River Thames after police repeatedly fired a Taser at him have called for an investigation into alleged misinformation put out by Scotland Yard.… [+3038 chars],https://amp.theguardian.com/uk-news/2022/jun/22/calls-to-investigate-met-for-misinformation-over-man-who-died-after-being-tasered-oladeji-omishore
