,url
0,https://www.rt.com/sport/560460-highland-games-tragedy-hammer-throw/
1,https://abcnews.go.com/International/wireStory/suspect-china-kindergarten-attack-dies-accident-88020887
2,https://abcnews.go.com/International/wireStory/bus-collision-accident-site-leaves-15-dead-turkey-88630363
3,https://abcnews.go.com/International/wireStory/car-accident-egypts-sinai-kills-israeli-tourists-87569824
4,https://abcnews.go.com/International/wireStory/traffic-accident-heavy-rain-pakistan-leaves-13-dead-88359308
5,https://abcnews.go.com/International/wireStory/vehicle-accident-southern-egypt-kills-injures-18-88333139
6,https://abcnews.go.com/International/wireStory/bus-accident-kashmir-kills-indian-soldiers-88432889
7,https://abcnews.go.com/International/wireStory/police-death-toll-kenya-bus-crash-rises-3o-87355981
8,https://www.aljazeera.com/sports/2022/8/19/manisha-kalyan-first-indian-player-in-womens-champions-league
9,https://www.rt.com/russia/560655-un-nuclear-power-plant/
10,https://www.bloomberg.com/news/newsletters/2022-08-06/books-to-enjoy-out-of-the-office-this-summer-the-readout-with-allegra-stratton
11,https://www.news24.com/news24/SouthAfrica/News/3-pupils-killed-14-people-injured-in-durban-taxi-accident-20220729
12,https://www.aljazeera.com/features/2022/8/14/ill-be-sacrificed-the-lost-and-sold-daughters-of-afghanistan
13,https://www.news24.com/news24/SouthAfrica/News/gauteng-woman-wants-answers-after-husband-killed-by-delivery-truck-pinning-him-against-wall-20220812
14,https://www.news24.com/news24/SouthAfrica/News/she-was-over-legal-alcohol-limit-joburg-woman-arrested-after-crashing-into-jmpd-vehicle-20220820
15,https://www.rt.com/news/560249-biden-brittney-griner-verdict/
16,https://www.rt.com/news/560967-macron-iaea-mission-zaporozhye-power-plant/
17,https://www.rt.com/sport/559664-russian-wrestler-dies-kabardino-balkaria/
18,https://www.rt.com/sport/559723-russian-gamer-denied-us-visa-z-symbol/
19,https://www.rt.com/russia/561026-gigachad-vladivostok-bodybuilder-candidate/
20,https://www.rt.com/news/559732-us-pentagon-contingency-plan-taiwan/
21,https://www.rt.com/russia/560352-ukraine-nuclear-plant-shelling/
22,https://www.rt.com/pop-culture/560829-alec-baldwin-fbi-trigger/
23,https://www.rt.com/russia/560642-russia-nuclear-disaster-ukraine-chernobyl/
24,https://abcnews.go.com/International/wireStory/bus-falls-off-bridge-kenya-leaves-21-dead-87335271
25,https://abcnews.go.com/International/wireStory/bus-crash-highway-croatia-kills-11-people-88028622
26,https://abcnews.go.com/Entertainment/wireStory/hong-kong-authorities-investigate-concert-accident-87613238
27,https://www.news24.com/channel/Gossip/News/ambulance-seen-leaving-ben-afflecks-home-ahead-of-wedding-to-jennifer-lopez-20220820
28,https://www.news24.com/channel/The-Juice/News/we-were-with-him-on-sunday-tokollo-tshabalalas-family-open-up-about-the-kwaito-stars-last-days-20220817-2
29,https://abcnews.go.com/International/wireStory/roller-coaster-crash-german-amusement-park-injures-34-88244620
