,url
0,https://finance.yahoo.com/news/software-company-red-maple-celebrates-194500592.html
1,https://247wallst.com/special-report/2022/07/19/30-utopian-novels-to-read-in-our-dystopian-world/
2,https://www.dailysignal.com/2022/07/21/upenns-nomination-of-lia-thomas-as-ncaa-woman-of-year-is-insult-to-real-women/
3,https://nofilmschool.com/kitchen-sink-drama
4,https://allafrica.com/stories/202207310083.html
5,https://www.kdnuggets.com/2022/07/5-project-ideas-stay-uptodate-data-scientist.html
6,https://www.independent.co.uk/voices/terf-trans-feminism-gender-b2131456.html
7,https://www.forbes.com/sites/teresahopke/2022/07/29/is-deis-bad-rap-justified/
8,https://allafrica.com/stories/202207200012.html
9,https://www.forbes.com/sites/stephanietharpe/2022/07/28/morgan-stanley-head-of-global-sports-and-entertainment-division-sandra-l-richards-talks-the-business-of-sports/
10,https://www.rawstory.com/2024-joe-biden-democrats/
11,https://www.project-syndicate.org/commentary/why-scandal-not-politics-brought-down-boris-by-robert-skidelsky-2022-07
12,https://amp.theguardian.com/commentisfree/2022/jul/17/give-me-a-pale-male-prime-minister-with-great-policies-over-diverse-one-reinforcing-inequality
13,https://www.independent.co.uk/voices/wikipedia-bias-gender-gap-women-lionesses-euros-b2131392.html
14,http://hyperallergic.com/745875/new-database-shows-which-museum-job-boards-post-salaries/
15,https://www.forbes.com/sites/andyfrye/2022/07/29/jennie-finch-wanted-to-be-a-dodger-but-women-inspired-her-to-be-the-complete-athlete/
16,https://www.independent.co.uk/climate-change/opinion/britain-inflation-ukraine-development-goals-sdgs-b2125779.html
17,https://allafrica.com/stories/202208050003.html
18,https://www.thegatewaypundit.com/2022/07/world-health-organization-issues-new-gender-guidance-sex-not-limited-male-female/
19,https://finance.yahoo.com/news/goldman-womenomics-stocks-languish-inflation-212611714.html
20,https://finance.yahoo.com/news/getty-images-announces-recipients-annual-160900593.html
21,https://www.newsweek.com/meghan-markle-snubbed-role-model-emma-watson-london-united-nations-tom-bower-revenge-1725468
22,https://punchng.com/women-lawyers-bemoan-high-gender-based-violence-in-ekiti/
23,https://legalinsurrection.com/2022/07/who-going-beyond-non-binary-approaches-because-sex-is-not-limited-to-male-or-female/
24,https://abcnews.go.com/International/wireStory/kenyas-election-rips-open-scars-inequality-corruption-87859344
25,https://abcnews.go.com/International/wireStory/bathroom-dispute-threatens-top-oas-meeting-peru-86901793
26,https://www.businesswire.com/news/home/20220725005732/en/Mogul-CEO-Tiffany-Pham-Named-to-SIA%E2%80%99s-Prestigious-40-Under-40-List
27,https://www.techrepublic.com/article/the-opportunities-of-digital-inclusion-and-the-tech-behind-it/
28,http://www.justjared.com/2022/07/13/meghan-markle-prince-harry-are-returning-to-nyc-soon/
29,https://reliefweb.int/job/3868948/senior-business-development-manager-green-climate-fund
30,https://finance.yahoo.com/news/un-renews-crucial-human-rights-192300979.html
31,https://www.independent.co.uk/news/uk/politics/tory-leadership-sunak-mordaunt-truss-b2125739.html
32,https://www.rawstory.com/ron-desantis-haunted-house-laws/
33,https://wearesocial.com/uk/blog/2022/08/womens-sport-needs-brand-support-if-it-is-to-survive-and-thrive/
34,https://fortune.com/2022/08/04/hannah-williams-salary-transparency-street-tiktok-videos-asking-strangers-how-much-they-earn/
35,https://www.sciencedaily.com/releases/2022/08/220801133056.htm
36,https://newsonjapan.com/html/newsdesk/article/135041.php
37,https://www.commonsense.news/p/englands-new-conservative-superstar
38,https://www.forbes.com/sites/frankvangansbeke/2022/07/13/the-supreme-court-and-the-demise-of-the-make-america-great-again-ambition/
39,https://wearesocial.com/blog/2022/08/womens-sport-needs-brand-support-if-it-is-to-survive-and-thrive/
40,https://screenrant.com/orville-star-trek-deep-space-nine-war-connection/
41,https://www.independent.co.uk/voices/woke-penny-mordaunt-kemi-badenoch-tory-leadership-b2127135.html
42,https://freebeacon.com/?p=1624722
43,https://www.econlib.org/critical-race-theory-in-schools/
44,https://www.independent.co.uk/voices/woke-penny-mordaunt-kemi-badenoch-tory-leadership-b2131391.html
45,https://theconversation.com/shinzo-abe-the-disputed-legacy-of-a-politician-who-dominated-public-life-in-japan-after-wwii-186757
46,https://www.gov.uk/research-for-development-outputs/addressing-inequality-in-higher-education-in-peru
47,https://www.channelnewsasia.com/sport/rugby-league-pride-jersey-triggers-boycott-seven-manly-players-2835396
48,https://techxplore.com/news/2022-08-gender-significantly-affects-takeover-automated.html
49,https://www.economist.com/united-states/2022/07/14/critical-race-theory-is-being-weaponised-whats-the-fuss-about
50,https://www.msnbc.com/opinion/msnbc-opinion/matt-gaetz-s-anti-abortion-anti-woman-rant-would-make-n1297524
51,https://gadgets360.com/internet/news/gender-bias-search-algorithms-ai-results-effect-users-artificial-intelligence-3153094
52,https://news.yahoo.com/analysis-more-chinese-women-delay-230226794.html
53,https://betterhumans.pub/6-characteristics-to-better-understand-people-from-other-cultures-354f47398ec5
54,https://cleantechnica.com/2022/08/06/analyzing-the-tesla-shareholder-proposals-that-failed/
55,https://www.abc.net.au/news/2022-07-24/older-women-and-homelessness-nsw-inquiry-case-study/101251666
56,https://finance.yahoo.com/news/two-thirds-clubbers-want-see-050000364.html
57,https://thehillstimes.in/featured/gendered-society-an-unarticulated-truth
58,https://www.npr.org/sections/goatsandsoda/2022/07/23/1112684568/what-these-teen-girls-do-and-dont-have-time-for-might-surprise-and-inspire-you
59,https://www.crikey.com.au/2022/08/03/palmer-senator-hits-out-at-political-class/
60,https://www.newsweek.com/prince-harry-next-big-speech-nods-inspiring-moment-meghan-markle-pre-royal-career-1723747
61,https://news.un.org/en/story/2022/07/1122422
62,https://www.nature.com/articles/s41591-022-01888-y
63,https://www.mlive.com/public-interest/2022/07/kevin-rinke-thinks-business-smarts-and-a-huge-tax-cut-set-him-apart-in-governors-race.html
64,https://finance.yahoo.com/news/global-population-nears-8-billion-143600819.html
65,https://www.independent.ie/news/women-better-than-men-at-operating-driverless-cars-study-finds-41880198.html
66,https://www.fxempire.com/news/article/perus-congress-declines-oas-summit-over-gender-neutral-bathroom-rule-1066144
67,https://healthpolicy-watch.news/unaids-covid-19-and-plummeting-donor-funds-slow-progress-against-hiv/
68,https://www.dw.com/en/hiv-aids-need-billions-in-funding-to-avoid-deep-trouble/a-62693267
69,https://allafrica.com/stories/202207260470.html
70,https://www.abc.net.au/news/2022-07-20/labors-first-wellbeing-budget-will-have-more-rigor-costs-benefit/101251460
71,https://japantoday.com/category/features/kuchikomi/questionable-ways-that-environmental-concerns-and-sdgs-are-being-taught-to-young-children
72,https://www.standard.co.uk/news/uk/what-is-the-womens-health-strategy-key-outcomes-government-plan-healthcare-b1013636.html
73,https://theconversation.com/racism-in-south-africa-why-the-anc-has-failed-to-dismantle-patterns-of-white-privilege-187660
74,https://www.juancole.com/2022/07/christian-nationalists-control.html
75,http://www.brookings.edu/blog/up-front/2022/07/28/class-notes-the-black-white-wealth-gap-togetherness-in-the-household-and-more/
76,https://techxplore.com/news/2022-07-fictitious-ai-real-world.html
77,https://www.washingtontimes.com/news/2022/jul/12/who-sex-not-limited-male-or-female/
78,https://www.dailymaverick.co.za/article/2022-07-26-banyana-banyana-and-gender-parity-a-test-for-south-africa/
79,https://collegebasketball.nbcsports.com/2022/07/20/report-ncaa-makes-progress-on-gender-inequality-at-tourneys/
80,https://www.ndtv.com/india-news/kerala-schools-to-be-co-educational-directs-state-child-rights-commission-3183564
81,https://www.tor.com/2022/07/26/how-to-not-fit-in-the-misfit-heroine-and-olivia-atwaters-half-a-soul/
82,https://finance.yahoo.com/news/yum-brands-highlights-progress-climate-151007426.html
83,https://www.artnews.com/art-news/news/candy-darling-hari-nef-bernard-marson-morning-links-1234635701/
84,https://www.nature.com/articles/s41586-022-05010-7
85,https://www.afr.com/work-and-careers/workplace/get-ready-for-salaries-to-become-more-public-20220711-p5b0ly
86,https://www.thestar.com/news/world/americas/2022/07/15/bathroom-dispute-threatens-top-oas-meeting-in-peru.html
87,https://cafehayek.com/2022/07/some-links-1758.html
88,https://www.businesswire.com/news/home/20220720005495/en/Yum%21-Brands-Highlights-Progress-on-Climate-Sustainable-Packaging-and-Equity-Inclusion-Priorities-in-Annual-Citizenship-Sustainability-Report
89,https://fortune.com/well/2022/08/04/high-health-care-costs-cause-cut-spending-on-food-and-gas/
90,https://www.brandingmag.com/ian-humphris/marketing-needs-less-equality/
91,https://news.yahoo.com/un-official-decades-development-progress-011714664.html
92,https://himaginary.hatenablog.com/entry/20220721/Real-Time_Inequality
93,https://theconversation.com/half-of-australians-will-experience-technology-facilitated-abuse-in-their-lifetimes-new-research-187764
94,https://www.thenation.com/?post_type=article&#038;p=420293
95,https://www.newsweek.com/boyfriend-insecure-relationship-breakup-mumsnet-viral-post-1731310
96,https://theconversation.com/women-have-always-trailed-men-in-research-output-how-covid-made-the-situation-worse-188241
97,https://news.yahoo.com/review-fake-pregnancy-transforms-lonely-143619247.html
98,https://foreignpolicy.com/2022/07/29/imf-debt-pandemic-global-south-sri-lanka-pakistan/
99,https://www.afr.com/work-and-careers/education/this-university-boss-just-hired-five-executives-and-they-re-all-women-20220720-p5b31x
