,url
0,https://www.npr.org/2022/08/08/1115758381/inflation-black-communities-latino-native-american-families
1,https://www.slashfilm.com/933725/finding-robin-williams-fisher-king-co-star-took-some-serious-casting-calculus/
2,https://www.entrepreneur.com/article/430603
3,https://www.forbes.com/sites/gabrielalopezgomes/2022/08/08/new-survey-finds-inflation-and-housing-costs-hitting-minorities-hardest-with-many-facing-eviction-threats/
4,https://amp.theguardian.com/us-news/2022/aug/02/phoenix-heat-team-hottest-city-us
5,https://www.theonion.com/increasingly-unhinged-eric-garcetti-covers-own-body-wit-1849107363
6,https://news.yahoo.com/us-rejects-serbian-world-advocated-172309883.html
7,https://www.eurogamer.net/someone-has-made-a-gaming-pc-from-a-toilet
8,https://jezebel.com/billionaire-starbucks-ceo-blames-woke-leaders-homele-1849200301
9,https://www.youtube.com/supported_browsers?next_url=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3Dye_gX6o2axs
10,https://www.forbes.com/sites/madelinehalpert/2022/08/02/war-has-caused-108-billion-in-damage-to-ukraines-infrastructure-study-finds/
11,https://time.com/6201278/trump-america-first-policy-institute-republicans/
12,https://time.com/6200063/us-heatwave/
13,https://www.kron4.com/news/bay-area/fire-breaks-out-in-oakland-near-bay-bridge/
14,https://ktla.com/news/local-news/worst-of-all-options-hotel-owners-blast-proposal-to-house-homeless-alongside-guests/
15,https://www.nytimes.com/live/2022/08/02/world/ukraine-russia-news-war
16,https://amp.theguardian.com/us-news/2022/jul/11/utah-abortion-ban-women-poverty-inequality
17,https://amp.theguardian.com/artanddesign/2022/jul/11/this-is-our-backyard-sao-paolos-concrete-beach-lovers-photo-essay
18,https://amp.theguardian.com/world/2022/jul/18/they-have-come-to-destroy-us-ukrainians-on-the-frontline-in-donbas
19,https://amp.theguardian.com/sport/2022/jul/28/brittney-griner-photos-court-russia-drugs-trial-wife-basketball
20,https://www.marketwatch.com/story/theyve-owned-these-pets-for-years-people-are-giving-up-family-dogs-they-adopted-long-before-the-pandemic-mostly-due-to-inflation-shelters-say-11657559789
21,https://www.youtube.com/supported_browsers?next_url=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DVE4KUvwB-qk
22,https://deadline.com/2022/07/american-superman-first-look-exclusive-beyond-rights-deals-federation-stories-uk-bolsters-team-edinburgh-unveils-scottish-talent-in-75th-anniversary-line-up-sarajevo-docs-jury-global-brief-1235072198/
23,https://www1.nyc.gov/office-of-the-mayor/news/540-22/transcript-mayor-eric-adams-launches-homeless-assistance-fund-nyc-s-business-community
24,https://gothamist.com/news/police-say-suspected-serial-stabber-is-in-custody
25,https://www.slashfilm.com/941909/every-rick-morty-actor-who-appeared-in-gravity-falls/
26,https://www.politico.com/news/2022/08/05/biden-to-travel-to-kentucky-in-first-trip-since-covid-diagnosis-00050095
27,https://www.theatlantic.com/newsletters/archive/2022/07/us-messaging-on-monkeypox-is-deeply-flawed/670573/?utm_source=feed
28,https://amp.theguardian.com/society/2022/jul/18/former-public-relations-executive-tells-nsw-inquiry-that-homelessness-has-no-discrimination
29,https://www.forbes.com/sites/jaredmeyer/2022/07/27/trump-is-right-about-homelessness/
30,https://amp.theguardian.com/us-news/2022/jul/18/california-homelessness-crisis-mojave-desert
31,https://dnyuz.com/2022/08/09/anxious-new-yorkers-worry-whether-eric-adams-is-the-man-for-the-moment/
32,https://www.cbsnews.com/losangeles/news/northridge-business-owner-says-homelessness-hurting-sales/
33,https://dnyuz.com/2022/07/12/police-search-for-man-after-3-are-stabbed-on-benches-and-in-playground/
34,https://www.wtoc.com/2022/08/03/savannah-businesses-police-work-address-crime-linked-homeless-population/
35,https://www.kob.com/new-mexico/local-business-leaders-discuss-solutions-to-homelessness-in-albuquerque/
36,https://amp.theguardian.com/education/2022/jul/21/homeless-students-uk-cost-of-living-crisis
37,https://amp.theguardian.com/us-news/2022/jul/21/homeless-deaths-phoenix-arizona-maricopa-county
38,https://amp.theguardian.com/uk-news/2022/jul/26/homeless-families-housed-in-birmingham-hotels-moved-ahead-of-commonwealth-games
39,https://www.slashfilm.com/955278/year-of-the-vampire-the-addiction-bites-into-dependency-and-the-problem-of-evil/
40,https://www.latimes.com/california/story/2022-07-16/he-was-homeless-and-in-hospice-his-recovery-is-a-lesson-in-what-it-takes-to-save-a-life
41,https://www.latimes.com/california/story/2022-08-01/midnight-mission-running-out-of-water-drought-story
42,https://www.bbc.co.uk/news/uk-wales-62441613
43,https://www.digitaltrends.com/movies/mrs-harris-goes-to-paris-review/
44,https://www.theatlantic.com/ideas/archive/2022/07/slavery-involuntary-relocation-texas-schools/670470/?utm_source=feed
45,https://www.bbc.co.uk/news/av/uk-england-nottinghamshire-62236868
46,https://www.tmz.com/2022/07/10/san-francisco-kids-wade-through-bus-stop-drugs/
47,https://relevantmagazine.com/justice/missouris-new-bill-is-about-to-make-life-miserable-for-the-homeless/
48,https://viewfromthewing.com/insane-l-a-will-vote-to-require-all-hotels-to-house-the-homeless-when-not-sold-out/
49,https://www.latimes.com/california/story/2022-07-22/homeless-hoarding-slipping-through-the-cracks
50,https://www.latimes.com/california/story/2022-07-21/suspect-charged-with-hate-crime-in-sylmar-shooting-that-left-unhoused-person-dead
51,https://www.cracked.com/article_34665_4-bs-alien-movies-stories-people-presented-as-truth.html
52,https://www.core77.com/posts/116486/The-Long-Distance-Mobile-Laundry-Vans-Making-a-Social-Impact
53,https://www.nhpr.org/nh-news/2022-07-19/manchester-nh-business-owners-ask-for-training-to-deal-with-unhoused-people
54,https://www.staradvertiser.com/2022/07/25/breaking-news/3-dead-after-shooting-in-vancouver-b-c/
55,https://www.thedailybeast.com/man-who-raised-dollar400000-with-fake-gofundme-sentenced-to-five-years-in-prison
56,https://www.latimes.com/california/story/2022-07-13/pregnant-homeless-tent-los-angeles-hollywood-mckenzie
57,https://www.latimes.com/california/story/2022-07-13/hollywoods-finest-pregnant-homeless-woman-how-we-reported
58,https://petapixel.com/2022/07/20/footage-shows-nypd-cop-on-horseback-chasing-thief-in-times-square/
59,https://www.snopes.com/ap/2022/07/22/woman-in-400k-gofundme-scam-gets-1-year-in-federal-case/
60,https://www.latimes.com/california/story/2022-08-08/echo-park-lake-chain-link-fence-taken-down-homeless-encampment
61,https://www.fark.com/comments/12481474/Multiple-people-in-Canada-killed-as-gunman-was-intentionally-targeting-homeless
62,https://www.politico.com/news/2022/07/20/adams-asylum-seekers-new-york-00046661
63,https://www.cbc.ca/news/canada/nova-scotia/police-encampment-removal-privacy-commissioner-1.6522507
64,https://www.nytimes.com/2022/07/15/health/monkeypox-vaccine-supply.html
65,https://www.highsnobiety.com/p/marcus-rashford-dave-beats-campaign/
66,https://www.dallasnews.com/news/2022/07/25/firefighters-responding-to-fire-in-balch-springs/
67,https://www.wjhl.com/news/local/bristol-va-business-leaders-support-public-camping-ban/
68,https://www.krqe.com/news/albuquerque-metro/business-owners-push-for-sanctioned-homeless-encampment-at-westside-shelter/
69,https://www.cjonline.com/story/news/2022/08/07/developer-lost-license-homeless-entering-former-topeka-holiday-inn-hotel-property-neighbor-says/10217014002/
70,https://www.krqe.com/news/albuquerque-metro/international-district-business-owner-fed-up-with-homeless-trespassers/
71,https://reason.com/2022/08/05/protesters-declare-housing-is-a-human-right-while-marching-against-new-housing-construction/
72,https://news.yahoo.com/andrew-yang-believes-matthew-mcconaughey-194012164.html
73,https://news.yahoo.com/convention-dominated-fear-control-cruelty-172502149.html
74,https://instapundit.com/535595/
75,https://www.theblaze.com/news/los-angeles-voters-decide-in-2024-if-hotels-will-be-forced-to-house-the-homeless
76,https://www.marketwatch.com/story/feds-mary-daly-says-i-dont-feel-the-pain-of-inflation-anymore-heres-the-full-context-of-her-remarks-11659553509
77,https://erickimphotography.com/blog/2022/07/20/homeless-or-really-rich/
