,url
0,https://www.reuters.com/article/factcheck-canada-freeland-idUSL1N2Z10IG
1,https://www.reuters.com/lifestyle/sports/kyrgios-soaks-up-acclaim-after-proving-doubters-wrong-2022-07-06/
2,https://www.cnn.com/2022/08/01/weather/kentucky-appalachia-flooding-monday/index.html
3,https://amp.theguardian.com/sport/behind-the-lines/2022/jul/14/tom-philip-life-rugby-rage-recovery-scotland-six-nations
4,https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/crimean-congo-haemorrhagic-fever-explainer-deadly-eye-bleeding-virus-which-can-kill-up-to-a-third-of-patients-reaches-europe/photostory/93133322.cms
5,https://amp.theguardian.com/world/2022/jul/13/no-fear-the-new-zealand-virtual-reality-app-helping-conquer-phobias
6,https://amp.theguardian.com/uk-news/2022/jul/06/lancashire-police-threatened-to-taser-suicidal-teen-court-told
7,https://amp.theguardian.com/society/2022/jul/28/nhs-closing-down-london-gender-identity-clinic-for-children
8,https://amp.theguardian.com/uk-news/2022/jul/22/protest-march-called-in-belfast-after-deaths-of-14-homeless-people
9,https://amp.theguardian.com/money/2022/jul/19/a-bigger-paycheck-id-rather-watch-the-sunset-is-this-the-end-of-ambition
10,https://amp.theguardian.com/uk-news/2022/jul/11/university-of-cambridge-launches-inquiry-after-five-suspected-suicides
11,https://amp.theguardian.com/uk-news/2022/jul/22/park-in-sky-to-open-former-grade-ii-listed-manchester-viaduct-castlefield
12,https://amp.theguardian.com/film/2022/jul/22/protest-march-called-in-belfast-after-deaths-of-14-homeless-people
13,https://www.insider.com/simone-biles-jenna-ellis-who-called-her-a-loser-2022-7
14,https://www.calendar.com/blog/remote-employees-are-experiencing-burnout-adequate-tools-should-become-a-solution/
15,https://www.bbc.co.uk/news/entertainment-arts-62249774
16,https://www.bbc.co.uk/news/world-us-canada-62382492
17,https://www.reuters.com/lifestyle/sports/englands-stokes-skip-south-africa-t20s-hundred-manage-workload-2022-07-16/
18,https://www.reuters.com/business/healthcare-pharmaceuticals/spain-responsible-violence-against-woman-c-section-case-un-body-finds-2022-07-14/
19,https://www.reuters.com/lifestyle/sports/australia-compensate-past-abuse-victims-national-sports-institute-2022-07-20/
20,https://www.scientificamerican.com/article/why-do-mental-illnesses-from-depression-to-schizophrenia-raise-the-risk-of-dementia/
21,https://time.com/6198426/parkland-shooting-sentencing-trial-day-one-recap/
22,https://boingboing.net/2022/07/26/the-bizarre-mystery-of-prairie-madness.html
23,https://www.businessinsider.com/meta-instagram-lawsuits-eating-disorder-teenagers-report-2022-7
24,https://www.businessinsider.com/trump-tweeting-on-jan-6-evidence-of-intent-capitol-riot
25,https://www.makeuseof.com/what-is-medito/
26,https://www.businessinsider.com/uk-quirk-app-customizes-financial-guidance-through-personality-tests-2022-7
27,https://amp.theguardian.com/lifeandstyle/2022/jul/13/expectant-mothers-like-me-feel-weve-been-abandoned-to-covid
28,https://hbr.org/2022/07/reeling-from-a-sudden-job-loss-heres-how-to-start-healing
29,https://www.theverge.com/2022/7/25/23277222/president-biden-zoom-video-conferencing-neat-board
30,https://amp.theguardian.com/sport/2022/jul/30/qasim-sheikh-on-scotlands-cricket-racism-scandal-to-know-others-wont-go-through-this-is-everything
31,https://www.huffpost.com/entry/zia-sheikh_l_62c6f422e4b0d74019809d4b
32,https://design-milk.com/fluted-hug-pods-provide-a-cozy-nook-in-open-workspaces/
33,https://abcnews.go.com/US/gun-legislation-eliminate-mass-shootings-save-lives-experts/story?id=86391399
