,url
0,https://abcnews.go.com/Business/covid-guidelines-ease-person-work-spur-return-office/story?id=88441400
1,https://www.rt.com/news/560093-us-states-monkeypox-emergency/
2,https://www.rt.com/pop-culture/560865-actress-anne-heche-dies/
3,https://www.rt.com/sport/559587-medvedev-beats-safin-record-world-number-one/
4,https://abcnews.go.com/Health/wireStory/biden-emerges-isolation-covid-americans-avoid-illness-vaccines-87491870
5,https://www.politico.com/newsletters/future-pulse/2022/08/10/how-democrats-drug-price-negotiations-would-work-00050582
6,https://www.bloomberg.com/news/articles/2022-08-20/indonesia-confirms-first-case-of-monkeypox-in-local-who-traveled
7,https://abcnews.go.com/Health/wireStory/biden-covid-recovery-admin-launches-booster-push-87569725
8,https://www.news24.com/news24/Africa/News/dos-santoss-body-arrives-in-angola-amid-tense-election-campaign-20220821
9,https://www.news24.com/news24/SouthAfrica/News/mpofu-argues-that-fraser-acted-within-the-law-by-granting-medical-parole-to-zuma-20220815
10,https://abcnews.go.com/International/wireStory/david-trimble-architect-ireland-peace-deal-dies-77-87384867
11,https://www.bloomberg.com/news/articles/2022-07-25/manchin-has-covid-highlighting-tight-vote-math-for-democrats
12,https://www.politico.com/news/2022/07/31/toomey-burn-pit-veterans-00048839
13,https://abcnews.go.com/US/wireStory/seattle-area-deaths-blamed-weeks-heat-wave-87834221
14,https://abcnews.go.com/Business/wireStory/pfizer-ceo-tests-positive-covid-19-mild-symptoms-88403251
15,https://www.news24.com/news24/Health/fourth-monkeypox-case-confirmed-in-the-western-cape-20220815
16,https://abcnews.go.com/International/wireStory/rescuers-move-whale-stranded-french-river-saltwater-88136680
17,https://abcnews.go.com/Health/wireStory/bacteria-rare-tropical-disease-found-us-soil-87508124
18,https://abcnews.go.com/Health/wireStory/biden-tests-negative-covid-isolating-2nd-negative-88040002
19,https://abcnews.go.com/US/wireStory/wisconsin-woman-slender-man-attack-drops-release-request-88201983
20,https://www.bloomberg.com/news/articles/2022-07-23/biden-continues-to-improve-with-covid-keeping-him-at-white-house
21,https://abcnews.go.com/Health/wireStory/doctor-biden-tests-positive-covid-2nd-day-row-87710000
22,https://abcnews.go.com/US/wireStory/man-leaves-carolina-death-row-firing-squad-trial-87755651
23,https://abcnews.go.com/International/wireStory/kim-threatens-nukes-amid-tensions-us-korea-87529544
24,https://www.bloomberg.com/news/articles/2022-08-11/kim-jong-un-s-sister-threatens-to-hit-south-over-covid-outbreak
25,https://www.news24.com/news24/Health/covid-19-patient-dies-after-johnson-johnson-vaccination-leads-to-rare-disease-20220804
26,https://abcnews.go.com/Entertainment/wireStory/taurean-blacque-actor-hill-street-blues-dead-82-87273907
27,https://abcnews.go.com/Health/wireStory/appeals-court-upholds-texas-block-school-mask-mandates-87437269
28,https://abcnews.go.com/Entertainment/wireStory/judds-asks-court-seal-report-death-investigation-88310192
29,https://abcnews.go.com/Health/wireStory/spain-reports-2nd-death-monkeypox-87671011
30,https://abcnews.go.com/Entertainment/wireStory/judds-asks-court-seal-report-death-investigation-88310193
31,https://abcnews.go.com/US/wireStory/killed-ohio-man-called-armed-dangerous-sought-88035215
32,https://abcnews.go.com/US/wireStory/records-fall-northwest-swelters-multiday-heat-wave-87469972
33,https://abcnews.go.com/Health/wireStory/biden-leaves-white-house-1st-time-covid-19-88059717
34,https://abcnews.go.com/Health/wireStory/uk-face-public-health-crisis-energy-bill-hike-88592244
35,https://abcnews.go.com/US/wireStory/police-suspect-slayings-ohio-arrested-kansas-88063425
36,https://abcnews.go.com/International/wireStory/role-race-contested-killing-nigerian-man-italy-88031870
