,url
0,https://globalnews.ca/news/9029353/montreal-aids-progress-international-conference-who/
1,https://amp.theguardian.com/business/2022/aug/11/energy-crisis-has-pushed-families-to-the-brink
2,https://time.com/6202803/bp-oil-profits-bernard-looney/
3,https://www.vice.com/en/article/3addpk/taliban-drugs-crackdown-afghanistan
4,https://blog.google/inside-google/company-announcements/bay-area-housing-update/
5,https://www.reuters.com/world/africa/senegal-legislative-poll-set-test-ruling-party-ahead-presidential-vote-2022-07-28/
6,https://www.reuters.com/world/asia-pacific/philippine-ex-president-fidel-ramos-dies-rappler-news-site-2022-07-31/
7,https://www.reuters.com/world/africa/unequal-divided-angola-braces-tense-election-2022-08-19/
8,https://amp.theguardian.com/world/commentisfree/2022/jul/26/global-debt-crisis-sri-lanka-foreign-capital
9,https://amp.theguardian.com/global-development/2022/aug/09/its-never-enough-the-senegal-goldminers-surviving-from-one-nugget-to-the-next
10,https://amp.theguardian.com/commentisfree/2022/aug/18/florida-teen-abortion-forced-motherhood
11,https://www.reuters.com/business/environment/if-brazil-legalizes-more-amazon-mining-it-would-drive-deforestation-study-says-2022-07-28/
12,https://www.reuters.com/world/europe/italys-right-pledges-tax-cuts-immigration-curbs-welfare-reform-2022-08-12/
13,https://amp.theguardian.com/business/2022/jul/23/holiday-hunger-summer-break-extra-financial-strain-uk-families
14,https://amp.theguardian.com/money/2022/aug/12/people-give-their-views-on-dont-pay-uk-fuel-bills
15,https://amp.theguardian.com/inequality/2022/aug/15/inequality-uk-highest-earning-constituency
16,https://amp.theguardian.com/uk-news/2022/jul/22/protest-march-called-in-belfast-after-deaths-of-14-homeless-people
17,https://amp.theguardian.com/commentisfree/2022/aug/08/the-guardian-view-on-the-dog-days-of-boris-johnsons-premiership-crises-which-crises
18,https://amp.theguardian.com/commentisfree/2022/aug/14/the-guardian-view-on-bidens-green-deal-leadership-after-trumps-denialism
19,https://amp.theguardian.com/politics/2022/aug/02/crony-peerages-are-proof-that-lords-reform-is-urgent
20,https://amp.theguardian.com/business/2022/jul/22/uk-retail-sales-fell-june-queen-jubilee-celebrations-food-drink-cost-of-living
21,https://amp.theguardian.com/games/2022/aug/06/stray-review-cats-get-the-cream-in-slinky-post-apocalyptic-fantasy
22,https://amp.theguardian.com/world/2022/aug/11/gunman-takes-hostages-at-beirut-bank-to-try-to-free-his-trapped-savings
23,https://amp.theguardian.com/commentisfree/2022/aug/19/350-cost-of-living-payment-what-happens-winter-heat-or-eat
