,url
0,https://www.reuters.com/world/brazils-bolsonaro-i-know-how-ukrainian-war-could-be-resolved-2022-07-14/
1,https://www.reuters.com/world/europe/russian-tv-worker-who-protested-war-live-air-briefly-detained-2022-07-18/
2,https://www.reuters.com/lifestyle/sports/ukraine-war-will-not-be-free-pass-drug-cheats-says-wada-boss-2022-07-28/
3,https://www.reuters.com/world/india/indias-punjab-sind-bank-chief-declares-war-against-bad-loans-2022-08-02/
4,https://www.reuters.com/world/europe/west-could-trigger-nuclear-war-over-ukraine-russia-says-un-2022-08-02/
5,https://www.reuters.com/world/europe/cia-director-says-some-15000-russians-killed-ukraine-war-2022-07-20/
6,https://www.reuters.com/world/europe/ukraine-wants-avoid-winter-war-says-top-presidential-aide-2022-07-19/
7,https://www.reuters.com/world/europe/threat-prosecution-hangs-forever-over-ukraine-war-crimes-perpetrators-eu-2022-07-18/
8,https://www.reuters.com/world/europe/ukraine-brushes-off-schroeder-war-comments-tells-russia-withdraw-troops-2022-08-03/
9,https://www.reuters.com/world/asia-pacific/nkorean-leader-kim-calls-readiness-quickly-mobilise-nuclear-war-deterrent-yonhap-2022-07-27/
10,https://www.reuters.com/world/europe/more-than-100000-ukrainians-have-arrived-britain-since-war-government-2022-07-28/
11,https://www.reuters.com/markets/europe/trade-war-with-china-could-cost-germany-six-times-much-brexit-ifo-2022-08-08/
12,https://www.reuters.com/world/west-seeks-coordinate-evidence-war-crimes-ukraine-2022-07-14/
13,https://www.reuters.com/world/europe/eu-has-frozen-138-bln-euros-russian-assets-over-ukraine-war-official-says-2022-07-12/
14,https://www.reuters.com/markets/yemen-truce-extension-likely-war-is-coming-again-southern-official-says-2022-07-29/
15,https://www.reuters.com/world/europe/leaders-align-ukraine-war-crimes-cases-hague-meeting-2022-07-13/
16,https://widerimage.reuters.com/story/last-maternity-clinic-in-ukraine-controlled-donbas-a-lifeline-as-war-closes-in
17,https://www.reuters.com/world/with-massive-polish-arms-deal-skorea-steps-closer-ukraine-war-2022-07-28/
18,https://www.reuters.com/world/europe/blood-treasure-chaos-cost-russias-war-ukraine-2022-07-28/
19,https://www.reuters.com/world/europe/russian-anti-war-protester-defies-court-trying-her-discrediting-army-2022-07-28/
20,https://www.reuters.com/world/russia-is-failing-many-areas-ukraine-war-uk-defence-minister-2022-07-29/
21,https://www.reuters.com/world/europe/russia-says-united-states-is-directly-involved-ukraine-war-2022-08-02/
