,url
0,https://www.independent.co.uk/news/world/americas/california-ap-connecticut-children-hillary-clinton-b2129291.html
1,https://taxprof.typepad.com/taxprof_blog/2022/08/henderson-the-end-of-the-end-of-history-era-extreme-wealth-concentration.html
2,https://www.insidehighered.com/news/2022/07/20/universitys-attempt-give-back-meets-local-resistance
3,https://www.latimes.com/california/story/2022-08-03/for-50-million-in-the-land-of-tents-this-condo-could-be-yours-as-l-a-prices-and-misery-index-both-rise
4,https://www.counterpunch.org/2022/07/29/its-the-coruption-stupid/
5,https://www.counterpunch.org/2022/07/28/we-are-one-species/
6,https://theecologist.org/2022/jul/18/billionaires-leave-millions-starving
7,https://www.nakedcapitalism.com/2022/08/america-land-of-the-dying-alarming-study-shows-u-s-killing-its-own-population.html
8,https://nextcity.org/features/can-a-private-equity-model-build-wealth-for-workers-of-color
9,https://amp.theguardian.com/commentisfree/2022/jul/29/myths-benefits-tory-britain-low-taxes-rich
10,https://www.forbes.com/sites/bobeccles/2022/07/29/addressing-system-level-risks-in-order-to-maximize-long-term-financial-returns/
11,https://bitcoinmagazine.com/culture/bitcoin-independence-and-uncommunism
12,https://allafrica.com/stories/202207230111.html
13,https://www.counterpunch.org/2022/08/01/to-reduce-inflation-control-corporate-profits/
14,https://www.yakimaherald.com/ap/business/ap-business-summarybrief-at-8-12-p-m-edt/article_929d3e2a-269c-5e61-a045-a0158647ad42.html
15,https://www.publishersweekly.com/pw/by-topic/authors/pw-select/article/90027-trouble-is-her-business.html
16,https://www.americanthinker.com/blog/2022/08/policies_of_inequality_never_lead_to_equality.html
17,https://www.juancole.com/2022/08/cascading-climate-middle.html
18,https://www.newsweek.com/biden-had-great-week-he-should-use-momentum-push-baby-bonds-opinion-1729140
19,https://www.cnn.com/2022/07/22/perspectives/rent-home-prices-inflation/index.html
20,https://www.counterpunch.org/2022/08/03/why-the-great-migration-did-little-to-bridge-the-racial-divide/
21,https://finance.yahoo.com/news/leading-mission-driven-organizations-launch-100000752.html
22,https://theconversation.com/south-africa-is-trapped-again-what-kind-of-leaders-can-set-the-country-free-187704
23,https://dailycaller.com/2022/07/11/climate-activists-occupy-hamptons-beach-streets-blocked-airport/
24,https://www.forbes.com/sites/johntamny/2022/07/27/book-review-david-sokol-and-adam-brandons-america-in-perspective/
25,https://www.euractiv.com/section/participatory-democracy/news/experts-call-on-eu-to-fully-integrate-gender-approach-in-blocs-budget-and-policy/
26,https://www.nzherald.co.nz/business/wealth-by-stealth-as-inland-revenue-pursues-nzs-richest-would-a-wealth-tax-work/K4SEBNJBROUOT7OAPJDKV5HFDE/
27,https://finance.yahoo.com/news/asia-richest-men-prep-battle-183000239.html
28,https://listverse.com/2022/08/04/10-books-that-accidently-showed-us-our-future/
29,https://theconversation.com/racism-in-south-africa-why-the-anc-has-failed-to-dismantle-patterns-of-white-privilege-187660
30,https://www.businesswire.com/news/home/20220721005062/en/Bristol-Myers-Squibb-Teams-Up-with-Jack-and-Jill-of-America-Inc.-to-Expand-Tomorrow%E2%80%99s-Innovators-Program-to-Increase-Black-Representation-in-the-Healthcare-Industry
31,https://www.creativeboom.com/news/peepl/
32,https://www.independent.co.uk/voices/liz-truss-rishi-sunak-education-b2131535.html
33,http://www.brookings.edu/blog/up-front/2022/07/28/class-notes-the-black-white-wealth-gap-togetherness-in-the-household-and-more/
34,https://finance.yahoo.com/news/5-money-experts-gen-z-230138736.html
35,https://finance.yahoo.com/news/chinas-common-prosperity-drive-slashes-031418187.html
36,https://www.startribune.com/minnesota-public-company-executives-cashed-in-equity-awards-in-rebounding-2021-stock-market/600192111/
37,https://truthout.org/articles/sanders-rebukes-senate-for-crafting-50-billion-handout-to-microchip-industry/
38,https://www.counterpunch.org/2022/07/22/household-economics-wheres-my-200k/
39,https://finance.yahoo.com/news/5-money-experts-gen-z-130114479.html
40,https://www.nytimes.com/2022/07/13/t-magazine/sigrid-nunez-paula-fox-desperate-characters.html
41,https://www.morningstar.com/news/marketwatch/20220716293/ro-khanna-tech-funding-bill-is-not-just-about-jobs-its-about-a-new-patriotism
42,https://www.livemint.com/opinion/columns/defi-and-degrowth-mark-two-extremes-in-fixing-capitalism-11659285744775.html
43,https://www.cityam.com/average-uk-household-owns-1-2m-less-than-richest/
44,https://www.independent.co.uk/news/uk/home-news/wealth-gap-inequality-record-highest-b2126959.html
45,https://www.americanthinker.com/articles/2022/07/nearly_in_the_grip_of_a_cult.html
46,https://www.tor.com/2022/07/26/how-to-not-fit-in-the-misfit-heroine-and-olivia-atwaters-half-a-soul/
47,http://thegrio.com/2022/07/16/america-is-stressing-me-out/
48,https://www.bangkokpost.com/business/2347143/govt-set-to-dangle-land-bait
49,https://blogs.lse.ac.uk/europpblog/2022/07/13/measuring-the-link-between-class-and-wealth-in-europe/
50,https://iasbaba.com/2022/07/daily-current-affairs-ias-upsc-prelims-and-mains-exam-28th-july-2022/
51,https://iasbaba.com/2022/07/the-poor-state-of-indias-fiscal-federalism/
52,https://www.breitbart.com/asia/2022/07/19/china-blames-systemic-racism-for-uvalde-massacre/
53,https://awealthofcommonsense.com/2022/07/why-the-financial-goalposts-are-always-moving/
54,https://abcnews.go.com/International/wireStory/colombias-leftist-president-presents-ambitious-tax-plan-88118268
55,https://voxeu.org/article/transatlantic-economy-policy-responses-pandemic-and-road-recovery
56,https://abcnews.go.com/US/wireStory/detroit-cash-bail-reforms-strike-racial-inequality-86680638
57,https://finance.yahoo.com/news/start-investing-win-big-according-110046344.html
58,https://theconversation.com/stronger-democracies-have-seen-fewer-excess-deaths-during-covid-new-research-186322
59,https://www.cnn.com/2022/08/06/us/history-refocused/index.html
60,https://allafrica.com/stories/202208020009.html
61,https://dianeravitch.net/2022/07/15/new-study-funding-matters-and-low-income-districts-get-the-least/
62,https://finance.yahoo.com/news/why-congress-is-embracing-corporate-welfare-130822178.html
63,https://www.counterpunch.org/2022/08/04/sometimes-you-just-want-to-scream/
64,https://247wallst.com/special-report/2022/07/13/russia-is-on-the-list-of-the-most-corrupt-countries-in-the-world-2/
65,https://www.bostonglobe.com/2022/07/14/arts/word-new-poetry-books-an-initiative-brown-help-environmental-scientists-tell-their-stories-better/
66,https://www.newsweek.com/sri-lanka-cast-out-eden-greedy-elite-opinion-1727228
67,https://www.counterpunch.org/2022/07/22/8-billion-humans-population-is-a-difficult-conversation-but-we-need-to-start-getting-real/
68,https://dianeravitch.net/2022/07/27/arthur-camins-democrats-should-not-parrot-republicans/
69,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0272634
70,https://www.huffpost.com/entry/united-states-detroit-bail-inequality_n_62cdb13ce4b06e3d9bbb9ff0
71,https://www.thestar.com/news/world/2022/07/12/detroit-cash-bail-reforms-to-strike-at-racial-inequality.html
72,https://www.business-standard.com/article/current-affairs/world-bank-appoints-indian-national-indermit-gill-as-chief-economist-122072501308_1.html
73,https://www.eastasiaforum.org/2022/07/23/chinas-entrepreneurial-capitalism-faces-a-grim-future/
74,https://www.scmp.com/comment/opinion/article/3184567/five-steps-hong-kongs-new-leader-can-take-tackle-income-inequality
75,https://finance.yahoo.com/news/rich-wall-streeters-face-shock-140001445.html
76,https://www.theamericanconservative.com/how-zoning-paralyzed-american-cities/
77,https://www.counterpunch.org/2022/07/29/its-time-to-crackdown-on-the-excessive-pay-of-ceos/
78,https://www.bloomberg.com/news/articles/2022-07-22/south-africa-s-mbeki-sees-danger-of-arab-spring-like-protests
79,https://www.newstatesman.com/spotlight/2022/07/entire-nation-gripped-poverty-crisis-how-solve
80,https://inthesetimes.com/article/black-women-abortion-ban-roe-louisiana-universal-healthcare
81,https://cointelegraph.com/news/how-bitcoin-whales-make-a-splash-in-markets-and-move-prices
82,https://truthout.org/articles/boris-johnson-spends-last-days-in-office-laying-minefield-for-his-successor/
83,https://www.lawfareblog.com/todays-headlines-and-commentary-2612
84,https://seekingalpha.com/article/4523344-flora-growth-remains-undervalued-update
85,https://inthesetimes.com/article/supreme-court-regulatory-state-environmental-protection-agency-climate-change
86,https://nextcity.org/urbanist-news/qa-empowering-us-finance-literacy-for-indigenous-communities
87,https://amp.theguardian.com/politics/2022/jul/23/would-rishi-sunak-put-the-brakes-on-culture-wars-as-a-minority-ethnic-pm
88,https://www.counterpunch.org/2022/07/26/why-black-people-and-everyone-else-should-avoid-crypto/
89,https://amp.theguardian.com/politics/2022/jul/24/just-one-in-100-tory-mps-came-from-a-working-class-job-new-study-shows
90,https://theconversation.com/how-much-money-do-people-want-to-achieve-their-ideal-life-our-research-gave-a-surprising-result-186250
91,https://amp.theguardian.com/commentisfree/2022/jul/21/british-drugs-policy-failed-war-on-drugs-boris-johnson
92,https://www.afr.com/property/residential/homeowners-are-getting-older-and-wealthier-20220721-p5b3jp
93,https://voxeu.org/article/climate-change-risks-sovereign-debt
