no,part,questioncode,question,rewriting
1, before main node,A01,How do you feel?,How are you feeling today?
2, before main node,A02,Can I know if the predicted emotion is correct?,Do I guess your emotion correctly?
3, before main node,A03,Is the emotion positive or negative?,
4, before main node,A04,Let us practice Exercise 13 to overcome negative emotions.,
5, before main node,A05,Do you feel compassionate toward your childhood self?,
6, before main node,A06,"Amazing! Do you feel you want to protect your childhood self, or do you think that it is time for your childhood self to grow up and face hardships?",
7, before main node,A07,"Congratulations! You have shown tender compassion. Tender compassion is the first phase of compassion, where you feel sympathy towards the victim. You feel for the victim, hoping to do something that can help alleviate the suffering of the victim immediately.",
8, before main node,A08,"Congratulations! You have shown foresighted compassion to your childhood self. Contrary to tender compassion which is an immediate form of sympathy towards the victim, you have shown foresighted compassion which helps you think about how to help the victim long-term!",
9, before main node,A09,"Now, it is time to bring compassion to the next level. Please take SAT module later to help you develop foresighted compassion! Foresighted compassion aims to help you develop long-term solutions that can help victims by facing the suffering and growing from there. Let's go further!",
10, before main node,A10,"Now it is time for you to use your compassion energy to do meaningful things in the real world! At the MAIN NODE, please go to Awareness, Understanding, Commitments (AUC) to start making an impact in the real world!",
11,sat part 1,B01,"Before we start, note that the main purpose of using this chatbot is to develop compassion. ",
12,sat part 1,B02,"Understand that there are 2 types of compassion. Tender compassion is a more commonly seen compassion, where the people generate immediate sympathetic feelings towards some unfortunate events. Another form of compassion, which goes beyond initial sympathetic feeling, and wanted to do more sustainable and systematically to alleviate the situation, would be known as foresighted compassion. Do you need an example?",
13,sat part 1,B03,This is fine! This is exactly the reason this chatbot is created! We aim to develop compassion for you! Let us begin! ,
14,sat part 1,B04,"To feel compassionate towards the child, we have to first become intimate with our child. Let us practice exercises 1, and 2 (to recall early memories, and become intimate with the childhood self).",
15,sat part 1,B05,Do you form a closer connection with the child?,
16,sat part 1,B06,"Amazing! You have accomplished the first goal! However, we are still not exactly there. Are you ready to take the relationship with the child self to the next level? ",
17,sat part 1,B07,"Okay, shall we do ESA or end the session?",
