,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10
Timestamp,How do you feel?,Can I know if the predicted emotion is correct?,Is the emotion positive or negative?,Let us practice <Exercise 13> to overcome negative emotions.,Do you feel compassionate toward your <childhood self>?,"Amazing! Do you feel you want to protect your <childhood self>, or do you think that it is time for your <childhood self> to grow up and face hardships?","Congratulations! You have shown <tender compassion>. <Tender compassion> is the first phase of compassion, where you feel sympathy towards the victim. You feel for the victim, hoping to do something that can help alleviate the suffering of the victim immediately.","Congratulations! You have shown <foresighted compassion> to your <childhood self>. Contrary to tender compassion which is an immediate form of sympathy towards the victim, you have shown <foresighted compassion> which helps you think about how to help the victim long-term!","Now, it is time to bring compassion to the next level. Please take SAT module later to help you develop <foresighted compassion>! <Foresighted compassion> aims to help you develop long-term solutions that can help victims by facing the suffering and growing from there. Let's go further!","Now it is time for you to use your compassion energy to do meaningful things in the real world! At the <MAIN NODE>, please go to <Awareness, Understanding, Commitments (AUC)> to start making an impact in the real world!","Before we start, note that the main purpose of using this chatbot is to develop compassion. ","Understand that there are 2 types of compassion. <Tender compassion> is a more commonly seen compassion, where the people generate immediate sympathetic feelings towards some unfortunate events. Another form of compassion, which goes beyond initial sympathetic feeling, and wanted to do more sustainable and systematically to alleviate the situation, would be known as <foresighted compassion>. Do you need an example?",This is fine! This is exactly the reason this chatbot is created! We aim to develop compassion for you! Let us begin! ,"To feel compassionate towards the <childhood self>, we have to first become intimate with our <childhood self>. Let us practice exercises 1, and 2 (to recall early memories, and become intimate with the <childhood self>).",Do you form a closer connection with the <childhood self>?,"Amazing! You have accomplished the first goal! However, we are still not exactly there. Are you ready to take the relationship with the <childhood self> to the next level? ","Okay, shall we do <ESA> or end the session?","Now that you feel you have successfully formed a closer connection with the <childhood self>, time to show your <childhood self> some love! Let us practice exercises 3, 4 and 5 (singing, expressing love, pledging to care for and support the <childhood self>)",Do you feel love and a stronger urge to protect your <childhood self> now? ,"Congratulations! You have shown <tender compassion>! This is a great first stage of compassion, where you have shown sympathy towards the <childhood self>! Now, let us extend to see what to do with this compassion."
7/15/2022 14:12:04,How are you feeling?,Is the predicted emotion correct?,Do you feel more positive or negative?,Let us start practicing Exercise 13 to overcome negative emotions.,Do you feel you are compassionate towards your childhood self?,"Great job! Do you feel like you want to protect your childhood self, or do you think it will be better to help your childhood self to grow up and face difficulties?","Congratulations! You have shown tender compassion. Tender compassion is the first stage of compassion, where you will sympathise with the victims. You hope you can help alleviate suffering of the victim.","Congratulations! You have shown foresighted compassion to your childhood self. Contrary to tender compassion, you think how to help the victim sustainably, displaying trait of foresighted compassion.","Now, let us bring compassion to next level. Please use SAT module to develop foresighted compassion! Foresighted compassion help you develop long-term solutions by learning to deal with difficulties. Let us go further.","Now it is time to use compassion energy meaningfully in the real world. At MAIN NODE, please choose Awareness, Understanding, Commitments (AUC) to make impact in real world!","As we begin, note that the main goal of this chatbot is to develop compassion.","There are 2 types of compassion. <Tender compassion> is a more commonly seen compassion, where the people generate immediate sympathetic feelings towards some unfortunate events. Another form of compassion, which goes beyond initial sympathetic feeling, and wanted to do more sustainable and systematically to alleviate the situation, would be known as <foresighted compassion>. Do you need an example?",This is okay! This is exactly the reason this chatbot is created! We aim to develop compassion for you! Let us begin! ,"To feel compassion towards the child, first we have to become intimate with them. Let's practice exercises 1 and 2 for that.",Have you formed a closer connection with the child? ,"Great job! You have accomplished the first goal! However, we are still not exactly there. Are you ready to take the relationship with the child self to the next level? ","Noted, shall we do <ESA> or end the session?","Now that you feel you have successfully formed a closer connection with the child, time to show your <childhood self> some love! Let us go and practice exercises 3, 4 and 5 (singing, expressing love, pledging to care for and support the <childhood self>)",Do you feel a stronger urge to protect your child now?,"Congratulations! You have shown <tender compassion>! This is a great first stage of compassion, where you have shown sympathy towards the child! Now, let us go further to see what to do with this compassion."
7/16/2022 5:39:23,How are you feeling today?,What do you think about the results? Do you think that the predicted mood captures how you are feeling?,Do you think that you are feeling more positively or negatively?,"Now, let's take a moment to go through Exercise 13 so that I can help you better understand how to overcome any negative feelings that you might be experiencing.","Looking back, how do you view your childhood self? Are you being kind to your younger self?","That's wonderful to hear. Between protecting your childhood self and wanting your childhood self to grow stronger from adversities, which one do you think more accurately describes your feelings?",Good news! You have clearly demonstrated some tender compassion. Tender compassion is the first step whereby you are able to sympathise with the victim. This shows that you have a strong desire to help the victim as you feel sorry for the circumstances that they are in.,"How lovely! You have strong feelings of foresighted compassion towards your childhood self. While tender compassion is a more direct form of compassion that aims to quickly solve the problem in the current moment, foresighted compassion is a more permanent way for you to help the victim in the long run.","Let's take a step further to develop ourselves. Don't forget to go through the SAT module to strengthen your foresighted compassion skills. The great thing about foresighted compassion is that it's a more efficient, long-term solution that will help improve the lives of victims over the long run.","Why don't we put your compassion skills to good use? At the MAIN NODE, please navigate to Awareness, Understanding, Commitments (AUC) to begin your journey in improving the lives of the people around us!","As a quick note before we begin, this chatbot exercise is meant for us to help you in your journey to becoming a more conscious and compassionate human!","There are two types of compassion that we may feel. The more common type is tender compassion, which is a more immediate form of sympathy. The second type, foresighted compassion, goes a step beyond sympathy and aims to develop a long-term solution for the person in need. Would you like to hear an example?","Don't worry, we're here to help! We'll be with you every step of the way in your compassion journey. Let's get started!","To feel compassion towards the child, first we have to become intimate with them. Let's practice exercises 1 and 2 for that.",Are you feeling more connected with the child?,"Wow! You've successfully completed your first goal! But we're just getting started. There's much more for us to learn. Next, let's think deeper about your relationship with your childhood self.",Let's do a quick check-in. How are we doing? Would you like to proceed with ESA or come back to it another time?,"I'm proud of you! You've managed to form a deeper connection with the child. In the next exercises 3, 4, and 5, you'll be able to give your childhood self some love through music, expressions of love, care and support.",Are you filled with love? Do you feel a stronger need to protect your child?,"Well done! You are full of tender compassion. This is just the beginning of your compassion journey, as you have shown great sympathy. I will now teach you how to further develop this into a strength of yours."
7/17/2022 18:07:21,How are you doing?,Did I predict the right emotion?,Do you feel good or bad?,Let's try Exercise 13 to see if it helps!,Do you feel compassion towards your childhood self?,"Great job! Do you feel like protecting your childhood self, or is it time to grow up?",Nice job! You've shown tender compassion. It is the first phase of compassion where you feel sympathy towards someone and hope to immediately alleviate their suffering.,"GOod job! You've shown foresighted compassion to your childhood self. Unlike tender compassion where you feel sympathy towards someone and hope to immediately alleviate their suffering, with foresighted compassion you're now thinking about how to help someone in the long run.","Now let's bring your compassion up to the next level. Please take the SAT module to help you develop foresighted compassion. With foresighted compassion, you aim to provide long-term help to someone who is suffering.","Time to use your compassion for good in the real world! At the <MAIN NODE>, go to <Awareness, Understanding, Commitments (AUC)> to start making an impact!","Before we begin, note that the main aim of this chatbot is to help you develop compassion.",There are two forms of compassion. <Tender compassion> is the form of compassion where one experience immediate sympathetic feelings towards another and it is more common. <Foresighted compassion> goes beyond tender compassion in that one is driven to act more sustainably and systematically to alleviate suffering. Would you like an example?,That's all right! This is why we're here—to help you develop compassion. Let's start!,"To feel compassion towards the child, first we have to become intimate with them. Let's practice exercises 1 and 2 for that.",Do you feel more connected to the child?,"Fantastic! That's the first goal out of the way, but we're still not quite there yet. Ready to take the relationship with the childhood self up to the next level?","Ok, shall we do <ESA> or end the session?","Now that you've successfully connected with the child, time to show your childhood self some love! Let's practice exercises 3, 4 and 5 in singing, expressing love, and pledging to care for and support the childhood self.",Do you love your child and feel a stronger urge to protect them now?,"Congratulations! You've shown tender compassion, which is the first stage of compassion where one shows sympathy towards another. Now, let's see what we can do from here."
7/18/2022 1:24:59,How are you feeling right now?,Did I guess your emotion correctly?,Are you feeling positive or negative?,Let’s do <Exercise 13> together to get over the negative emotions you’re feeling.,How are you feeling about your childhood?,Cool! Do you feel like protecting your childhood self or do you think he/she should toughen up?,Congrats! You have displayed tender compassion. It’s the first step towards compassion by feeling sympathy towards others. You feel sorry for the victim and wish to help them immediately.,"Congrats! You displayed foresighted compassion towards your childhood self. Instead of just feeling sympathy, this helps you think about how to help others in longer terms.","Next on, to further develop foresighted compassion we will do the SAT module. It’s to help you develop long term solutions for the victims and help them grow thereon.","Time to use your compassion energy to do meaningful things! At the Main Node, click on Awareness, Understanding, Commitments (AUC) to start making real impact in the world!","Hey, before we start, remember that our goal is to develop compassion.","You understood that there are 2 types of compassion? Tender compassion is more common, where we simply feel sorry towards one’s unfortunate events. Meanwhile, foresighted goes beyond that by us wanting to make a difference to help the victims. Need an example?",That’s ok! This is what I am here for. To help develop compassion for us all! Let’s start.,"To feel compassionate towards the child, we first need to become intimate with our inner child. Let’s practice exercise 1 and 2 (to get close to pur early childhood memories)",Are you feeling more connected with the child?,"Great! You have completed the first goal. But, we’re not exactly there yet. Ready to take it to the next step?","Ok, wanna do ESA or end the session?","Seems like you have successfully formed a closer connection with the child, now let’s show your childhood self some love! Let’s practice exercises 3-5 :D",Are you feeling love and stronger urge to protect your childhood self now?,Great! You have displayed tender compassion. That’s a wonderful progress where you have shown sympathy towards the child. Now let’s go further.
7/18/2022 10:19:42,How are you doing today?,Was the predicted emotion correct?,Is the emotion a positive one or a negative one?,Let’s go through Exercise 13 so we can solve this together!,Do you feel like you have compassion for your childhood self? ,That’s great! Do you feel more of a need to protect your childhood self or that your childhood self needs to learn to grow up and face their own hardships?,Congratulations! You are exhibiting tender compassion. Tender compassion is usually the first part of compassion where you feel sympathy towards the affected party. You are empathetic towards them and start to hope for a solution that can stop or decrease the victim’s suffering as soon as possible.,Congratulations! You are exhibiting foresighted compassion to your childhood self. Foresighted compassion is different from tender compassion as it focuses on more long-term solutions rather than an immediate one.,It’s now time to develop a better understanding of compassion! Please take the SAT module later to learn more about foresighted compassion! Foresighted compassion focuses on long-term solutions which may require facing problems head on and growing from there. Let’s keep going!,"It’s time for you to apply what you’ve learnt about compassion! At the MAIN NODE, please click Awareness, Understanding, Commitments (AUC) to start making a difference in the real world!","Before we begin, please note that the aim of using this chatbot is to develop compassion.","It is important to know about the 2 types of compassion. Tender compassion is more common, where people respond with immediate sympathy towards tragic events. Foresighted compassion goes beyond an immediate response but prioritises long-term solutions to approach a problem. Would you like to see an example?","That’s alright! This is precisely why we made this chatbot, so we can learn about compassion together! Let’s begin!","In order to feel compassionate towards the childhood self, we need to first explore our relationship with our childhood self. We can form a better connection with our childhood self by practising exercises 1 and 2!",Do you feel closer to your childhood self now?,"That’s great! You’ve just completed the first step! However, there’s still more to do. Are you ready to learn more about your relationship with your childhood self?","Okay, shall we proceed to ESA or would you like to stop here?","Now that you’ve built a better relationship with your childhood self, it’s time to show your childhood self some love! Let’s start by giving your childhood self some care and emotional support with exercises 3, 4 and 5!",Do you feel more love and the need to protect your childhood self now?,Congratulations! You’ve secured the first part of being compassionate by showing tender compassion! Let’s see what else we can do from here!
0,How are you feeling today?,What do you think about the results : Do you think the predicted mood captures how you are feeling?,Do you think that you feel more positively or negatively?,Let's take a moment to go through Exercise 13 so I can help you better understand how to overcome any negative feelings you may be experiencing.,How do you view your childhood self to your younger self?,"Between protecting your childhood self and wanting to grow stronger against adversities, which one do you think is more accurate to describe your feelings?","Good news  You have clearly demonstrated some tender compassion  Tender compassion is the first step whereby you can sympathise with the victim, this shows that you have a strong desire to help the victim, as you feel sorry for the circumstances in which they are set.","How lovely! You have strong feelings of foresighted compassion toward your childhood self. While tender compassion is a more direct form of compassion that aims to quickly solve the problem in the current moment, foresighted compassion is a permanent way for you to help the victim in the long run.",Let us take a step further to develop ourselves. Don't forget to go through the SAT module to strengthen your foresighted compassion skills. The great thing about foresighted compassion is that it's a longer-term solution that will help improve the lives of victims long term.,"In the MAIN NODE please navigate the AUC to Awareness, Understanding, Commitments (AUC) to begin your journey in improving the lives of the people around us!",This chatbot exercise is meant for us to help with your journey to becoming a more conscious and compassionate human before we begin!,"There are two types of compassion that we may feel: the more common kind is tender compassion, which is a more immediate form of sympathy, and the second is foresighted compassion, which goes a step beyond sympathy and aims to develop a long-term solution for the person in need.","Don't worry, we are here to help you! We will be with you every step of the way in your compassion journey - let's get started!",To feel compassion towards children we first have to become intimate with them. Let us practice exercises 1 and 2 for that.,Are you feeling more connected to the child?,"Wow! You have successfully completed your first goal ; but we're just starting ; we have much more for us to learn ; and next, let us think deeper about your relationship with your childhood self.",Let's do a quick check-in; How are we doing? Would you like to proceed with ESA or come back at another time?,"In the next exercises 3, 4, and 5 you will be able to show some love to your childhood self through music, expressions of love, care and support.",Are you filled with love? Do you feel a stronger need to protect your child?,"This is just the beginning of your compassion journey, as you have shown great sympathy, and I will now teach you how to further develop this into a strength of yours."
0,How are you today feeling?,"What do you think about the results, do you think that the predicted mood can capture how you feel?",Do you think that you are feeling more positively or negatively?,Let's take a moment to go through exercise 13 so I can help you better understand how to overcome any negative feelings that you might be experiencing.,"Looking back, what do you view your childhood self? Are you kind to your younger self?","Which one does one more accurately describe your feelings, between your childhood self and wanting your childhood self to grow stronger from adversities?",Good news : You have demonstrated some tender compassion clearly. Tender compassion is the first step in which you are able to sympathise with the victim. This shows that you have a strong desire to help the victim as you feel sorry for the circumstances in which they are involved.,"You have strong feelings of foresighted compassion towards your childhood self While tender compassion is a direct form of compassion that aims to quickly solve the problem in the current moment, foresighted compassion is a more permanent way for you to help the victim in the long run.","Let's go a step further to develop ourselves by going through the SAT module to strengthen your foresighted compassion skills. The great thing about foresighted compassion is that it's a more efficient, long-term solution that will help improve the lives of victims over time.","Gratification for Compassion: if you navigate to the MAIN NODE ( Awareness, Understanding, Commitments ) on the AUC ( Awareness, Understanding, Commitments ) page to begin your journey to the betterment of the lives of the people around us.","As a quick note before we begin, this chatbot exercise is intended for us to help you in your journey to becoming a more conscious and compassionate human!","There are two types of compassion we may feel : the more common type is tender compassion which is a more immediate form of sympathy ; and the second type, foresighted compassion, goes a step beyond sympathy ; and aims to develop a long-term solution for the person in need.","Don't worry, we're here to help - we'll be here with you every step of the way on your compassion journey - Let's get started!",To feel compassion towards the child we first have to become intimate with them. Let's practice exercises 1 and 2 for that.,Are you feeling more connected with your child?,We completed your first goal with success but we are just a few steps away from the start and there is much more for us to learn. Let's think deeper about your relationship with your childhood self.,A quick check-in will help - how are we doing? Would you like to proceed to ESA or come back next time?,"I am proud of you! You've managed to form a deeper connection with the child And you'll be able to give some love to your childhood self through music, expressions of love, care and support in the next exercises 3, 4 and 5.",Are you filled with love or feel a stronger need to protect your child?,"Well done! You are full of tender compassion. This is only the beginning of your compassion journey, as you have shown great sympathy. I will now teach you how to further develop this into a strength of yours."
0,How are you feeling today?,Do you think the predicted mood shows you how you are feeling based on the results?,Do you think you are more positively or negatively feeling?,Now take a moment to go through Exercise 13 so that I can help you to better understand how to overcome any negative feelings that you might be experiencing.,"Looking back, how do you view your childhood self? Are you kind to your younger self?",Which one do you feel more accurately describes your feelings between protecting your childhood self and wanting your childhood self to grow stronger from adversities?,Good news! You have clearly demonstrated some tender compassion. Tender compassion is the first step whereby you are able to sympathise with the victim. This shows that you have a strong desire to help the victim as you feel sorry for the circumstances in which they are.,"You have strong feelings of foresighted compassion towards your childhood self. While tender compassion is a more direct form of compassion that aims to quickly solve the problem in the current moment, foresighted compassion is a more permanent way to help the victim in the long run.","Let's take a step further to develop ourselves: Take the SAT module to strengthen your foresighted compassion skills. The great thing about foresighted compassion is that it is a more efficient, long-term solution that will help the lives of victims on the long term.","Why don't we place your compassion skills to good use? At the MAIN NODE, navigate to Awareness, Understanding, Commitments (AUC) to begin your journey in improving the lives of the people around us!",As a quick note before we begin this chatbot exercise is meant for us to help you on your journey to becoming a conscious and compassionate human!,"There are two types of compassion that we may feel: the most common is tender compassion that is a more immediate form of sympathy, while the second kind of compassion, foresighted compassion, goes a step beyond sympathy and seeks to develop a long-term solution for the person in need.","Don't worry, we're here to help. We'll be with you every step of the way in your compassion journey.","To feel compassion towards the child, first we have to become intimate with him and let's practice exercises 1 and 2 for that.",Are you feeling more connected with the child?,"Now that you've completed your first goal successfully, we're just getting started... there's much more for us to learn. Next, let's think deeper about your relationship with your childhood self.","Let's do a quick check-in: How are we doing? Would you like to proceed with ESA, or come back another time?","In the following exercises 3, 4, and 5 you’ll be able to give some love to your childhood self through music, expressions of love, care and support.",Are you filled with love or do you feel a stronger need to protect your child?,You are full of tender compassion and this is just the beginning of your compassion journey as you have shown great sympathy. I will now teach you how to further develop this into a strength of yours.
1,Is your feeling today?,Do you think that the predicted mood accurately describes how you feel?,Do you think that you feel more positively or negatively?,"Now, let's take a moment to go through Exercise 13 so that I can help you better understand how to overcome any negative emotions that you may be experiencing.","In looking back, how do you view your childhood self? Are you kind to your younger self?","That is fantastic to hear, between protecting your childhood self and wanting your childhood self to grow stronger from adversities which one do you think relates more accurately to your feelings?","Good news! You clearly demonstrated some tender compassion, tender compassion is the first step whereby you are able to sympathise with the victim, showing that you have a strong desire to help the victim as you feel sorry for the circumstances they are in.",How lovely! You have strong feelings of foresighted compassion towards your childhood self.While tender compassion is a more direct form of compassion that aims to quickly solve the problem in the present moment. Foresighted compassion is a permanent way to help the victim in the long run.,"Let's take a step further to develop ourselves - go through the SAT module to strengthen your foresighted compassion skills - the great thing about foresighted compassion is that it's a more efficient, long-term solution that will help improve the lives of victims over the long run.","At the Master Node, navigate to awareness, understanding, commitments ( AUC ), to begin your journey in improving the lives of the people around us.","As a quick note before we start, this chatbot exercise is for us to help you in your journey to become a more conscious and compassionate human!","There are two types of compassion that we may feel - the more common is tender compassion, which is a more immediate form of sympathy - the second type, foresighted compassion - goes a step further - and aims to develop a long-term solution for the person in need.",We are here to help you - you'll be with us every step of the way in your compassion journey - let's get started!,To feel compassion towards the child we must first become intimate with them: Let’s practice Exercises 1 and 2 for that.,Are you feeling more connected with the child?,"Wow, you've completed your first goal successfully, but we are just getting started with much more to learn. Next, let's think more about your relationship to your childhood self.","Let's do a quick check in, How are we doing? Would you like to proceed with ESA or to come back again?","I'm proud of you! You've managed to form a deeper connection with the child so that you can give some love for your childhood self through music, expressions of love, care and support in the next exercises 3 and 4.",Are you filled with love and feel a stronger need to protect your child?,"This is just the beginning of your compassion journey, as you have shown great sympathy. Now I will teach you how to further develop this into your strength."
